Cpu,Architecture,Frequency (MHz),Operating System,Runtime,Threads Count,Memory Used,ArithemticsBenchmark (Iter/s),ParallelArithemticsBenchmark (Iter/s),MathBenchmark (Iter/s),ParallelMathBenchmark (Iter/s),CallBenchmark (Iter/s),ParallelCallBenchmark (Iter/s),IfElseBenchmark (Iter/s),ParallelIfElseBenchmark (Iter/s),StringManipulation (Iter/s),ParallelStringManipulation (Iter/s),MemoryBenchmark (MB/s),ParallelMemoryBenchmark (MB/s),RandomMemoryBenchmark (MB/s),ParallelRandomMemoryBenchmark (MB/s),Scimark2Benchmark (CompositeScore),ParallelScimark2Benchmark (CompositeScore),DhrystoneBenchmark (DMIPS),ParallelDhrystoneBenchmark (DMIPS),WhetstoneBenchmark (MWIPS),ParallelWhetstoneBenchmark (MWIPS),LinpackBenchmark (MFLOPS),ParallelLinpackBenchmark (MFLOPS),HashBenchmark (Iter/s),ParallelHashBenchmark (Iter/s),Total Points,Total Time (ms)
Elbrus 1C+ 985,e2k,985,Linux 4.9,Mono 5.16,1,0,3532077.94,9232556.43,922858.78,925903.52,60398659.11,15294328.41,57049321.52,56870045.20,22365.49,22318.26,442.05,453.77,212.12,212.58,53.16,56.80,42.69,42.12,617.08,478.27,47.27,47.27,32444.54,32624.36,9100.35,2886263.05
Elbrus 4C 750,e2k,750,Linux 5.4,Mono 5.16,4,0,2591812.46,7119809.34,690960.02,689693.34,46831726.90,11886053.39,44077813.52,43959531.25,17542.30,16780.74,357.10,1419.04,158.97,991.97,39.00,167.37,33.01,132.04,473.86,1485.32,46.85,181.06,24850.52,21432.18,17173.61,3417234.29
Elbrus 8C 1300,e2k,1300,Linux 4.19,Mono 5.16,8,0,4755942.36,11853423.18,1275834.03,1240840.36,81142021.70,19965213.53,76368338.20,72836094.62,30161.66,24993.46,686.04,4600.33,298.75,3216.11,74.36,583.97,56.92,443.94,831.93,5122.33,80.93,517.18,40086.89,17235.17,50222.58,2159060.73
Elbrus 8C 1300,e2k,1300,Linux 4.19,NetCore 3.1.4 (RTC x86),8,2362408960,112107200.19,117270015.03,1458574.64,1407533.63,43691655.57,41801299.25,369052810.83,351711959.72,194087.45,26962.18,2440.99,16783.15,1048.21,11799.91,164.72,1177.67,1309.62,10672.17,326.68,7813.58,133.53,746.43,0,0,196746.42,1259389.78
Elbrus 8CB 1550,e2k,1550,Linux 5.4,NetCore 3.1.6 (RTC x86),8,2380783616,132875156.17,148628854.23,2009156.77,1710285.39,52172333.49,51925427.16,440085292.05,436938052.61,211875.55,32869.46,2858.39,20078.20,1275.25,14375.81,179.26,1261.84,1552.65,12711.44,357.01,9441.68,130.28,699.09,0,0,234814.32,1143765.68
Allwinner A64,arm,1152,Linux 4.14,Mono 4,4,0,5032008.47,4637858.89,965684.06,910857.03,7988480.18,6493276.33,35574692.53,31986726.28,44510.57,38177.94,446.40,1501.81,132.68,1107.29,33.03,130.74,52.93,193.51,454.87,1346.53,60.70,200.64,23782.26,17804.97,17578.43,2834386.81
Intel Pentium 4 2800,x86,2800,Linux 5.4,Mono 6.2,1,0,1603682.69,6938063.95,1229171.40,1215370.29,18590864.92,16230135.33,75869899.99,76141819.97,84422.45,86610.92,2145.51,2147.99,644.63,679.62,123.16,123.16,181.56,181.56,411.42,544.61,197.83,190.76,58469.67,58717.56,20211.87,1602974.85
Intel Atom X5 Z8350,x86-64,1440,Windows 10,Net Framework 4.7.1,4,2127478784,33640155.47,32210118.54,2100502.84,2100277.57,66075080.83,64876516.20,122382225.08,120545480.60,140660.24,52448.92,2773.08,8522.00,892.06,5820.38,143.59,574.36,746.16,2994.31,976.28,4159.10,296.74,562.24,83339.54,32438.43,80622.19,932882.10
Intel Atom X5 Z8350,x86-64,1440,Windows 10,NetCore 3.1.8,4,1124458496,28316564.92,35438868.33,1840700.19,1807213.36,69707585.74,68604788.53,122446834.27,119899967.94,201869.44,57498.14,2385.08,8083.16,793.29,5400.44,150.86,574.36,981.22,3784.86,1169.49,5022.90,296.74,521.10,67154.95,38356.83,84512.14,939013.73
Intel Core i3 M330,x86-64,2130,Windows 10,Net Framework 4.7.1,4,623116288,71766787.79,34640922.70,4985436.48,2688068.60,71183388.13,65649229.01,192617413.70,115456660.56,226490.84,70272.87,5832.27,8796.18,1988.76,5380.22,255.06,574.36,1319.86,2287.42,1809.24,4211.35,667.67,928.93,122028.68,42936.12,97822.29,710849.38
