Cpu,Elbrus 2C+,Elbrus 4C,Elbrus 8C,Elbrus 8CB,Elbrus R1000,Allwinner A64,Amd A6 3650
Freq,500,750,1300,1550,1000,1152,2600
Cores,2,4,8,8,4,4,4
4k,14.02ns,4.04ns,2.51ns,1.94ns,45.01ns,3.48ns,1.16ns
cycles,7.0,3.0,3.0,3.0,5.0,4.0,3.0
8k,14.02ns,4.04ns,2.51ns,1.94ns,5.01ns,3.48ns,1.16ns
cycles,7.0,3.0,3.0,3.0,5.0,4.0,3.0
16k,14.02ns,4.04ns,2.51ns,1.94ns,5.01ns,3.48ns,1.16ns
cycles,7.0,3.0,3.0,3.0,5.0,4.0,3.0
32k,14.03ns,4.04ns,2.51ns,1.94ns,5.16ns,3.58ns,1.16ns
cycles,7.0,3.0,3.0,3.0,5.2,4.1,3.0
64k,14.04ns,4.06ns,2.51ns,1.94ns,23.45ns,6.83ns,1.16ns
cycles,7.0,3.0,3.0,3.0,23.4,7.9,3.0
128k,18.04ns,14.83ns,9.19ns,7.10ns,23.75ns,7.28ns,4.00ns
cycles,9.0,11.1,11.0,11.0,23.7,8.4,10.4
256k,24.97ns,14.82ns,9.19ns,7.10ns,23.98ns,7.69ns,4.00ns
cycles,12.5,11.1,11.0,11.0,24.0,48.9,10.4
512k,22.26ns,14.82ns,9.28ns,7.13ns,24.12ns,8.04ns,4.00ns
cycles,11.1,11.1,11.1,11.1,24.1,9.3,10.4
1M,67.80ns,14.83ns,27.57ns,21.31ns,24.07ns,34.36n,4.03ns
cycles,33.9,11.1,33.1,33.0,24.1,39.6,10.5
2M,106.21ns,22.49ns,27.56ns,21.31ns,46.62ns,37.05n,12.14ns
cycles,53.1,16.9,33.1,33.0,46.6,42.7,31.6
4M,107.51ns,120.65ns,27.56ns,21.31ns,119.53ns,37.36n,12.06ns
cycles,53.8,90.5,33.1,33.0,119.5,43.0,31.3
8M,107.92ns,121.18ns,27.57ns,21.31ns,141.08ns,37.37n,12.21ns
cycles,54.0,90.9,33.1,33.0,141.1,43.0,31.7
16M,107.86ns,121.27ns,47.72ns,31.54ns,143.90ns,37.57n,12.01ns
cycles,53.9,90.9,57.3,48.9,143.9,43.3,31.2
32M,107.91ns,119.22ns,111.71ns,117.28ns,144.34ns,37.09n,12.02ns
cycles,54.0,89.4,134.1,181.8,144.3,42.7,31.3
64M,107.91ns,119.48ns,149.90ns,117.39ns,144.36ns,37.07n,11.98ns
cycles,54.0,89.6,179.9,182.0,144.4,42.7,31.2
128M,107.91ns,121.75ns,169.79ns,117.51ns,144.42ns,37.57n,12.02ns
cycles,54.0,91.3,203.7,182.1,144.4,43.3,31.3
256M,107.97ns,122.11ns,174.90ns,117.58ns,144.34ns,37.77n,12.21ns
cycles,54.0,91.6,209.9,182.3,144.3,43.5,31.7
