Cpu,Elbrus 2C+ 467,Elbrus 1C+ 985,Elbrus 4C 750,Elbrus 8C 1300,Elbrus 8CB 1550,Elbrus R1000,Allwinner A64,Intel Pentium 4 2800,Intel Core i7 2600,Baikal M
Architecture,e2k,e2k,e2k,e2k,e2k,sparc,arm,x86,x86-64,arm
Frequency (MHz),467,985,750,1300,1550,1000,1152,2800,3400,1500
Operating System,Linux 3.14,Linux 4.9,Linux 5.4,Linux 4.19,Linux 5.4,Linux 4.19,Linux 4.14,Linux 5.4.0-48-generic,Windows NT 10.0,Linux 4.9.229-bmitx-def-alt1
Runtime,PHP 5.6.32,PHP 5.6.40,PHP 7.4.7,PHP 7.0.33,PHP 7.0.33,PHP 5.6.40,PHP 7.0.33,PHP 7.2.24-0,PHP 7.0.33,PHP 7.3.27
Memory Used,1042200,0,911016,819832,819352,600536,820040,762584,822640,851536
ArithemticsBenchmark (Iter/s),142719.59,319560.17,383991.32,617263.05,749256.74,178783.97,450323.43,1137386.12,2179780.43,1163261.37
MathBenchmark (Iter/s),36318.50,89813.61,181949.77,286350.25,324610.74,50534.36,221437.45,509040.06,1361139.41,493869.51
CallBenchmark (Iter/s),303213.70,634800.40,1149620.29,1659325.34,1931974.93,396104.81,1575234.52,5817901.37,10520494.07,5132566.49
IfElseBenchmark (Iter/s),420612.72,767508.47,1041343.04,1817852.75,2154097.36,620425.45,1553030.63,3621300.15,6566458.77,3801126.79
StringManipulation (Iter/s),18702.54,44317.84,88912.44,148213.59,145364.68,25724.06,110947.27,184990.53,181838.74,271073.96
MemoryBenchmark (MB/s),6.45,10.74,19.31,30.70,35.72,4.71,37.40,62.38,230.96,106.74
RandomMemoryBenchmark (MB/s),4.32,7.31,12.14,20.91,24.12,3.28,18.56,25.14,134.79,36.49
Scimark2Benchmark (CompositeScore),0.82,1.61,2.59,3.93,4.62,1.30,3.76,13.09,19.83,10.89
DhrystoneBenchmark (DMIPS),3.63,9.26,19.16,29.23,34.20,4.99,21.82,58.27,98.99,44.56
WhetstoneBenchmark (MWIPS),5.97,12.48,19.98,33.92,40.00,8.31,29.98,97.93,157.55,77.08
LinpackBenchmark (MFLOPS),0.86,1.08,2.29,3.26,3.76,1.23,3.73,13.84,21.76,12.64
HashBenchmark (Iter/s),34283.55,59558.08,116083.42,183900.25,208151.41,38454.62,132814.13,253137.60,682330.72,249585.33
Total Points,611.84,1209.27,2363.35,3812.85,4105.36,747.45,2859.81,5477.32,11028.50,6248.18
Total Time (ms),9801959,1779432.31,3494809,2423102,2115720,6927020,2290488,807552,476142,863233
