Cpu,Elbrus 2C+,Elbrus 1C+,Elbrus 4C,Elbrus 8C,Elbrus 8C x 4,Elbrus 8CB,Elbrus 8CB,Elbrus R1000,Allwinner A64,Qualcomm 625,AMD A6 3650,Intel Core i7 2600,Intel Core i7 2600
Frequency,500,985,750,1300,1300,1550,1550,1000,1152,2000,2600,3400,3400
Operating System,Linux 3.14,Linux 4.9,Linux 5.4,Linux 4.19,Linux 5.4,Linux 5.4,Linux 5.4,Linux 4.19,Linux 4.14,Linux 3.18,Linux 5.4,Windows NT 10.0,Windows NT 10.0
Runtime,PHP 5.6.32,PHP 5.6.40,PHP 7.4.7,PHP 7.0.33,PHP 5.6.40 (RTC),PHP 7.0.33,PHP 5.6.40 (RTC),PHP 5.6.40,PHP 7.0.33,PHP 7.4.11,PHP 7.4.3,PHP 5.6.20,PHP 7.0.33
Threads Count,2,1,4,8,32,8,8,0,4,8,4,8,8
Memory Used,1042200,0,911016,819832,1043720,819352,1042848,600536,820040,910328,922704,999032,822640
ArithemticsBenchmark (Iter/s),142719.59,319560.17,383991.32,617263.05,384343.89,749256.74,465076.93,178783.97,450323.43,729296.64,2173444.16,2267184.86,2179780.43
MathBenchmark (Iter/s),36318.50,89813.61,181949.77,286350.25,114181.32,324610.74,134177.15,50534.36,221437.45,256723.48,1302354.33,860180.42,1361139.41
CallBenchmark (Iter/s),303213.70,634800.40,1149620.29,1659325.34,726704.27,1931974.93,876784.95,396104.81,1575234.52,2631036.85,15927623.80,6820440.52,10520494.07
IfElseBenchmark (Iter/s),420612.72,767508.47,1041343.04,1817852.75,716329.48,2154097.36,882191.14,620425.45,1553030.63,2216811.60,10571385.98,6119118.18,6566458.77
StringManipulation (Iter/s),18702.54,44317.84,88912.44,148213.59,52147.26,145364.68,61546.62,25724.06,110947.27,158212.78,500103.50,230714.99,181838.74
MemoryBenchmark (MB/s),6.45,10.74,19.31,30.70,11.34,35.72,14.01,4.71,37.40,52.69,243.83,79.96,230.96
RandomMemoryBenchmark (MB/s),4.32,7.31,12.14,20.91,8.13,24.12,9.30,3.28,18.56,25.61,113.67,24.96,134.79
Scimark2Benchmark (CompositeScore),0.82,1.61,2.59,3.93,1.54,4.62,1.97,1.30,3.76,6.13,29.56,14.58,19.83
DhrystoneBenchmark (DMIPS),3.63,9.26,19.16,29.23,7.20,34.20,8.91,4.99,21.82,30.46,148.27,73.87,98.99
WhetstoneBenchmark (MWIPS),5.97,12.48,19.98,33.92,11.46,40.00,14.29,8.31,29.98,40.46,197.07,108.57,157.55
LinpackBenchmark (MFLOPS),0.86,1.08,2.29,3.26,1.41,3.76,1.78,1.23,3.73,5.78,33.22,13.97,21.76
HashBenchmark (Iter/s),34283.55,59558.08,116083.42,183900.25,67243.25,208151.41,77501.57,38454.62,132814.13,164294.12,484949.78,579292.15,682330.72
Total Points,611.84,1209.27,2363.35,3812.85,1374.27,4105.36,1609.16,747.45,2859.81,3809.13,12720.96,9547.03,11028.50
Total Time (ms),9801959,1779432.31,3494809,2423102,5576106,2115720,4493153,6927020,2290488,1566910,421390,732254,476142
