Elbrus 1C+;Unix 4.9.0.4;4.0.30319.42000;1;0;760,14;761,32;435,22;432,84;567,95;567,95;188,96;188,96;469,62;388,83;111,34;281,14;486,82;489,24;393,50;578,74;323,07;322,18;373,05;372,57;00:37:15.888326
Elbrus 4C;Unix 4.9.0.4;4.0.30319.42000;4;0;622,24;2414,69;338,56;2017,68;389,98;1673,70;143,43;573,71;357,30;1206,25;84,81;855,99;373,61;1493,84;299,63;440,61;248,85;943,09;290,95;992,32;00:43:36.2512100
Elbrus 8C;Unix 4.19.0.1;4.0.30319.42000;8;0;685,80;4603,87;588,17;6468,92;743,62;5814,07;218,55;1723,39;833,15;5127,83;142,69;2909,45;637,97;5011,26;463,67;763,63;303,84;2154,68;456,06;2392,49;00:31:11.0822066
Elbrus 8C;Unix 4.19.0.1;3.1.1;8;2018385920;2422,27;16957,66;2099,81;23310,51;1602,46;12390,16;5755,26;38069,44;376,47;8108,30;3452,37;29867,62;727,87;5350,82;12801,83;3691,38;1765,31;2020,58;0;0;00:17:59.0317801
Elbrus 8CB;Unix 5.4.0.1;3.1.1;8;2077966336;2891,87;20658,81;2620,34;27765,76;1691,94;12876,85;5058,62;48628,34;407,61;9430,39;4036,59;35469,08;855,71;7110,93;15289,98;4402,63;1856,23;2311,31;00:16:23.5990174
Pentium 4 2800;Unix 5.4.0.48;4.0.30319.42000;1;0;1898.20;2053.45;1366.04;1436.56;1253.99;1253.99;735.34;730.79;412.62;548.21;45.47;211.19;629.40;622.19;2314.05;759.79;860.94;863.34;614.49;612.40;00:22:55.1620990
Atom X5 Z8350;Microsoft Windows NT 6.2.9200.0;4.0.30319.42000;4;968081408;2722.99;8506.48;1755.61;11133.39;1435.89;5743.56;2784.29;10693.23;940.33;3955.52;999.72;3765.26;911.21;3674.23;2762.38;1220.58;1229.26;1847.18;549.50;1151.26;00:15:12.2840814
Atom X5 Z8350;Microsoft Windows NT 6.2.9200.0;3.1.8;4;1017798656;2352.93;7609.98;1569.19;10272.32;1508.57;5743.56;3123.51;11742.74;1105.60;4656.08;843.85;4222.82;815.32;3138.42;2780.03;1220.11;1950.88;2273.31;620.60;1369.97;00:14:52.1142341
Pentium T8400;Unix 5.4.0.47;4.0.30319.42000;2;0;4087.59;7051.09;2682.57;7793.85;2507.98;5015.95;1306.77;2397.27;2068.04;3923.04;272.51;3546.56;2334.08;4315.21;2403.37;2403.80;1276.23;2390.88;1588.19;2679.98;00:10:25.6326881
Core i3 M330;Microsoft Windows NT 6.2.9200.0;4.0.30319.42000;4;341356544;11077,00;17913,30;3967,03;12790,70;2778,18;5743,56;2604,44;3911,21;1769,97;4171,13;1812,49;3108,32;2293,70;4860,99;2138,95;1780,26;2754,18;2853,96;1367,62;1586,14;00:11:26.7218146
Core i3 M330;Microsoft Windows NT 6.2.9200.0;3.1.3;4;53878784;5200,87;8142,90;2183,32;8603,97;2505,88;5306,66;1964,71;4068,30;1652,29;4817,22;1190,11;3408,16;1772,34;3889,19;1822,57;1600,94;3680,63;3440,47;1876,64;2291,17;00:11:09.3359398
AMD A6 3650;Unix 5.4.0.48;4.0.30319.42000;4;0;3859,76;14326,32;2287,64;15015,87;2142,08;8131,40;1019,92;3776,89;1547,00;5990,89;178,11;4792,36;1707,83;6699,91;3190,05;2095,29;1095,26;4121,52;1406,19;3209,11;00:12:27.4148433
Core i7 2600;Microsoft Windows NT 6.2.9200.0;4.0.30319.42000;8;3815632896;12330,27;41026,21;9929,41;64813,43;5847,06;26921,01;5101,88;20874,22;3043,93;18751,93;4289,95;18593,81;4323,03;23102,72;4147,75;3238,56;4643,01;4890,19;2464,86;3027,87;00:08:42.5798085
Allwinner A64;Unix 4.14.44.64;4.0.30319.17020;4;0;447,93;1564,49;261,84;2217,48;330,27;1321,10;207,17;764,94;455,98;1342,66;150,75;546,81;489,01;1804,51;601,68;356,41;437,34;1520,99;251,70;876,97;00:37:32.6611270
Allwinner A64;Unix 4.14.44.64;3.1.1;4;686247936;701,25;2092,21;351,96;2983,75;462,51;1883,59;1803,07;6697,78;388,74;2376,01;296,73;1416,41;556,92;2124,36;711,39;473,46;846,89;1309,55;564,13;1363,53;00:26:08.7260569
Amlogic S922X;Unix 4.9.230.76;4.0.30319.42000;6;0;1257.51;6621.61;1357.76;9839.12;1253.99;5691.26;785.43;4136.60;500.83;4909.97;316.23;2868.45;1314.58;7018.97;1637.24;1036.86;1021.18;4818.13;695.25;2737.16;00:18:32.5223880
